Date (DD/MM/YYYY),NAV
07/05/2014,13.0690
08/05/2014,13.0838
09/05/2014,13.4747
12/05/2014,13.7790
13/05/2014,13.9628
15/05/2014,13.9899
16/05/2014,14.1557
19/05/2014,14.2738
20/05/2014,14.2978
21/05/2014,14.2523
22/05/2014,14.2981
23/05/2014,14.4761
26/05/2014,14.4583
27/05/2014,14.3778
28/05/2014,14.4005
29/05/2014,14.2303
30/05/2014,14.2199
02/06/2014,14.4805
03/06/2014,14.6047
04/06/2014,14.5771
05/06/2014,14.7407
06/06/2014,14.9629
09/06/2014,15.1037
10/06/2014,15.1064
11/06/2014,15.0509
12/06/2014,15.1006
13/06/2014,14.8875
16/06/2014,14.8724
17/06/2014,15.0661
18/06/2014,14.9222
19/06/2014,14.8859
20/06/2014,14.8287
23/06/2014,14.7936
24/06/2014,14.9639
25/06/2014,14.9413
26/06/2014,14.7922
27/06/2014,14.8213
30/06/2014,15.0225
01/07/2014,15.0688
02/07/2014,15.2472
03/07/2014,15.2346
04/07/2014,15.3213
07/07/2014,15.3910
08/07/2014,15.0673
09/07/2014,14.9962
10/07/2014,14.9626
11/07/2014,14.7512
14/07/2014,14.7445
15/07/2014,14.8874
16/07/2014,15.0809
17/07/2014,15.1184
18/07/2014,15.1639
21/07/2014,15.2063
22/07/2014,15.3720
23/07/2014,15.4290
24/07/2014,15.4987
25/07/2014,15.4203
28/07/2014,15.3518
30/07/2014,15.4383
31/07/2014,15.3002
01/08/2014,15.0663
04/08/2014,15.2281
05/08/2014,15.3544
06/08/2014,15.2075
07/08/2014,15.1624
08/08/2014,15.0050
11/08/2014,15.1179
12/08/2014,15.3191
13/08/2014,15.3533
14/08/2014,15.4566
19/08/2014,15.6665
20/08/2014,15.6233
21/08/2014,15.6573
22/08/2014,15.7011
25/08/2014,15.6875
26/08/2014,15.6844
27/08/2014,15.7489
28/08/2014,15.7852
01/09/2014,15.9306
02/09/2014,16.0404
03/09/2014,16.1029
04/09/2014,16.0677
05/09/2014,16.0523
08/09/2014,16.2267
09/09/2014,16.1852
10/09/2014,16.0684
11/09/2014,16.0526
12/09/2014,16.0918
15/09/2014,15.9659
16/09/2014,15.7502
17/09/2014,15.8345
18/09/2014,16.1101
19/09/2014,16.1227
22/09/2014,16.1746
23/09/2014,15.9191
24/09/2014,15.8891
25/09/2014,15.7096
26/09/2014,15.8227
29/09/2014,15.8029
30/09/2014,15.8146
01/10/2014,15.7764
07/10/2014,15.5916
08/10/2014,15.5723
09/10/2014,15.8062
10/10/2014,15.6065
13/10/2014,15.6546
14/10/2014,15.6144
16/10/2014,15.3937
17/10/2014,15.4559
20/10/2014,15.6538
21/10/2014,15.7502
